name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abucxcj,58375.499,ZTF18abucxcj_VLASS2.1,59108.0,VLASS2.1,2.082,0.249,732.5009999999966,SN IIn,0.033,detection,5.5955080738358055e+28,5.718505997871135e+27,2.006852054794511
ZTF18abucxcj,58375.499,ZTF18abucxcj_VLASS3.1,60001.0,VLASS3.1,2.145,0.238,1625.5009999999966,SN IIn,0.033,detection,5.764824600565708e+28,1.1382334256424015e+28,4.453427397260264
ZTF18abuqhje,58360.879,ZTF18abuqhje_VLASS2.1,59113.0,VLASS2.1,0.428,0.15,752.1209999999992,SN II,0.053,upper_limit,3.0536715597510845e+28,5.852951788699758e+27,2.0606054794520525
ZTF18abuqhje,58360.879,ZTF18abuqhje_VLASS3.1,59969.0,VLASS3.1,0.469,0.165,1608.1209999999992,SN II,0.053,upper_limit,3.346196171783315e+28,1.1236330670739392e+28,4.405810958904107
ZTF18abvejqt,58481.479,ZTF18abvejqt_VLASS2.1,59145.0,VLASS2.1,0.521,0.174,663.5210000000006,SN II,0.05,upper_limit,3.2942262937504256e+28,5.235978659138416e+27,1.8178657534246594
ZTF18abvejqt,58481.479,ZTF18abvejqt_VLASS3.1,60028.0,VLASS3.1,0.343,0.145,1546.5210000000006,SN II,0.05,upper_limit,2.1687516674786874e+28,1.0722493923950947e+28,4.23704383561644
ZTF18abvfecb,58387.819,ZTF18abvfecb_VLASS2.1,59105.0,VLASS2.1,0.358,0.146,717.1809999999969,SN II,0.125,upper_limit,1.5654267859192582e+29,5.604041347072248e+27,1.9648794520547859
ZTF18abvfecb,58387.819,ZTF18abvfecb_VLASS3.1,60076.0,VLASS3.1,0.364,0.133,1688.1809999999969,SN II,0.125,upper_limit,1.5916629890352238e+29,1.1923346245388995e+28,4.625153424657525
ZTF18abvgivy,58365.889,ZTF18abvgivy_VLASS1.2v2,58608.0,VLASS1.2v,0.401,0.125,242.11099999999715,SN II,0.06465,upper_limit,4.327334538094208e+28,1.2711390933260069e+27,0.6633178082191703
ZTF18abvgivy,58365.889,ZTF18abvgivy_VLASS2.2,59551.0,VLASS2.2,0.279,0.105,1185.1109999999971,SN II,0.06465,upper_limit,3.010788868150334e+28,7.031038746243081e+27,3.246879452054787
ZTF18abvgjft,58380.879,ZTF18abvgjft_VLASS1.2v2,58586.0,VLASS1.2v,0.361,0.131,205.1209999999992,SN II,0.077,upper_limit,5.621303589388726e+28,1.0243027204102619e+27,0.5619753424657513
ZTF18abvgjft,58380.879,ZTF18abvgjft_VLASS2.2,59562.0,VLASS2.2,0.276,0.115,1181.1209999999992,SN II,0.077,upper_limit,4.29772795199803e+28,7.005828434377401e+27,3.2359479452054773
ZTF18abvgjgb,58378.899,ZTF18abvgjgb_VLASS1.2v2,58587.0,VLASS1.2v,0.287,0.104,208.1010000000024,SN IIn,0.0819,upper_limit,5.089807698426431e+28,1.0472192966733063e+27,0.5701397260274038
ZTF18abvgjgb,58378.899,ZTF18abvgjgb_VLASS2.2,59561.0,VLASS2.2,0.294,0.098,1182.1010000000024,SN IIn,0.0819,upper_limit,5.213949349607563e+28,7.012019927853375e+27,3.238632876712335
